DataId,Value,Precision,IndicatorOrder,SurveyYear,DenominatorWeighted,IsPreferred,ByVariableId
567476,30,1,83363010,1998,4148,0,14001
205488,27.3,1,83363010,1998,2041,1,14002
751748,66.6,1,83363020,1998,2903,0,14000
567472,65,1,83363020,1998,4148,0,14001
205485,68.4,1,83363020,1998,2041,1,14002
751754,0.1,1,83363070,1998,2903,0,14000
567471,0.1,1,83363070,1998,4148,0,14001
205487,0.1,1,83363070,1998,2041,1,14002
751752,0.6,1,83363080,1998,2903,0,14000
567479,0.7,1,83363080,1998,4148,0,14001
205489,0.7,1,83363080,1998,2041,1,14002
751749,1.2,1,83363090,1998,2903,0,14000
567473,1.1,1,83363090,1998,4148,0,14001
205491,0.9,1,83363090,1998,2041,1,14002
751753,2.9,1,83363100,1998,2903,0,14000
567480,3.1,1,83363100,1998,4148,0,14001
205490,2.7,1,83363100,1998,2041,1,14002
751750,100,1,83363110,1998,2903,0,14000
567474,100,1,83363110,1998,4148,0,14001
205497,100,1,83363110,1998,2041,1,14002
751767,95.1,1,83363120,1998,2903,0,14000
567475,95,1,83363120,1998,4148,0,14001
205486,95.7,1,83363120,1998,2041,1,14002
334590,76.5,1,83566010,1998,3119,0,14000
302266,74.9,1,83566010,1998,5066,0,14001
3816,77.6,1,83566010,1998,2113,1,14002
334592,8,1,83566020,1998,3119,0,14000
302262,8.5,1,83566020,1998,5066,0,14001
3671,7.5,1,83566020,1998,2113,1,14002
334593,13.8,1,83566030,1998,3119,0,14000
302263,14.3,1,83566030,1998,5066,0,14001
3672,13.5,1,83566030,1998,2113,1,14002
334594,0.1,1,83566040,1998,3119,0,14000
302264,0.2,1,83566040,1998,5066,0,14001
3673,0.1,1,83566040,1998,2113,1,14002
334595,1.6,1,83566050,1998,3119,0,14000
302265,2.1,1,83566050,1998,5066,0,14001
3674,1.2,1,83566050,1998,2113,1,14002
334591,100,1,83566060,1998,3119,0,14000
302267,100,1,83566060,1998,5066,0,14001
3817,100,1,83566060,1998,2113,1,14002
334596,84.5,1,83566070,1998,3119,0,14000
302268,83.4,1,83566070,1998,5066,0,14001
3675,85.2,1,83566070,1998,2113,1,14002
508217,29.3,1,83606010,1998,3119,0,14000
413496,30,1,83606010,1998,5066,0,14001
15526,28.2,1,83606010,1998,2113,1,14002
508216,56.1,1,83606020,1998,3119,0,14000
413492,54.4,1,83606020,1998,5066,0,14001
15523,58.1,1,83606020,1998,2113,1,14002
508218,1.4,1,83606060,1998,3119,0,14000
413498,1.4,1,83606060,1998,5066,0,14001
15527,1.2,1,83606060,1998,2113,1,14002
508214,9.9,1,83606070,1998,3119,0,14000
413490,10.5,1,83606070,1998,5066,0,14001
15524,9.7,1,83606070,1998,2113,1,14002
508219,2.1,1,83606080,1998,3119,0,14000
413499,2.1,1,83606080,1998,5066,0,14001
15528,1.8,1,83606080,1998,2113,1,14002
508215,1.2,1,83606090,1998,3119,0,14000
413491,1.7,1,83606090,1998,5066,0,14001
15525,0.9,1,83606090,1998,2113,1,14002
508220,100,1,83606100,1998,3119,0,14000
413493,100,1,83606100,1998,5066,0,14001
15520,100,1,83606100,1998,2113,1,14002
508221,85.5,1,83606110,1998,3119,0,14000
413494,84.4,1,83606110,1998,5066,0,14001
15521,86.4,1,83606110,1998,2113,1,14002
508222,15.4,1,83606120,1998,3119,0,14000
413495,15.5,1,83606120,1998,5066,0,14001
15522,15.1,1,83606120,1998,2113,1,14002
598577,21.9,1,93966010,1998,2958,0,14000
397915,19.3,1,93966010,1998,4797,1,14001
450750,81.9,1,93966040,1998,607,0,14000
665172,78.2,1,93966040,1998,862,1,14001
15037,62.1,1,94096010,1998,523,0,14000
607611,60.6,1,94096010,1998,634,1,14001
15031,52.7,1,94096020,1998,523,0,14000
607606,51.2,1,94096020,1998,634,1,14001
15032,70.6,1,94096030,1998,523,0,14000
607607,68.6,1,94096030,1998,634,1,14001
15033,83.1,1,94096040,1998,523,0,14000
607608,81,1,94096040,1998,634,1,14001
15034,56.6,1,94096050,1998,523,0,14000
607609,57.1,1,94096050,1998,634,1,14001
15035,90.2,1,94096060,1998,523,0,14000
607610,89.1,1,94096060,1998,634,1,14001
15036,9.8,1,94096070,1998,523,0,14000
607614,10.9,1,94096070,1998,634,1,14001
15039,0.5,1,94096110,1998,523,0,14000
607615,0.4,1,94096110,1998,634,1,14001
15040,87.6,1,94096130,1998,523,0,14000
607617,86.3,1,94096130,1998,634,1,14001
15041,0.6,1,94096140,1998,523,0,14000
607618,0.5,1,94096140,1998,634,1,14001
15038,0.9,1,94096150,1998,523,0,14000
607612,1.7,1,94096150,1998,634,1,14001
157227,17.1,1,83363010,2016,1977,0,14000
653702,17.1,1,83363010,2016,3036,0,14001
157234,16.1,1,83363010,2016,1376,1,14002
157230,76.8,1,83363020,2016,1977,0,14000
653707,76.6,1,83363020,2016,3036,0,14001
157238,77,1,83363020,2016,1376,1,14002
157228,0.6,1,83363080,2016,1977,0,14000
653704,0.6,1,83363080,2016,3036,0,14001
157235,0.5,1,83363080,2016,1376,1,14002
157229,5.5,1,83363100,2016,1977,0,14000
653705,5.7,1,83363100,2016,3036,0,14001
157236,6.5,1,83363100,2016,1376,1,14002
157232,100,1,83363110,2016,1977,0,14000
653708,100,1,83363110,2016,3036,0,14001
157239,100,1,83363110,2016,1376,1,14002
157226,93.9,1,83363120,2016,1977,0,14000
653706,93.7,1,83363120,2016,3036,0,14001
157233,93.1,1,83363120,2016,1376,1,14002
157346,88.3,1,83566010,2016,2105,0,14000
157314,87.4,1,83566010,2016,3548,0,14001
463685,88.4,1,83566010,2016,1406,1,14002
157339,7.7,1,83566020,2016,2105,0,14000
157315,8.5,1,83566020,2016,3548,0,14001
463682,7.7,1,83566020,2016,1406,1,14002
157340,3.6,1,83566030,2016,2105,0,14000
157316,3.7,1,83566030,2016,3548,0,14001
463683,3.4,1,83566030,2016,1406,1,14002
157341,0.3,1,83566040,2016,2105,0,14000
157317,0.4,1,83566040,2016,3548,0,14001
463684,0.5,1,83566040,2016,1406,1,14002
157347,100,1,83566060,2016,2105,0,14000
157337,100,1,83566060,2016,3548,0,14001
463686,100,1,83566060,2016,1406,1,14002
157345,96,1,83566070,2016,2105,0,14000
157336,95.9,1,83566070,2016,3548,0,14001
463689,96.1,1,83566070,2016,1406,1,14002
663099,29.1,1,83606010,2016,2105,0,14000
373334,28.7,1,83606010,2016,3548,0,14001
473060,29.5,1,83606010,2016,1406,1,14002
663098,67.6,1,83606020,2016,2105,0,14000
373337,68,1,83606020,2016,3548,0,14001
473024,67.6,1,83606020,2016,1406,1,14002
663100,0.2,1,83606060,2016,2105,0,14000
373335,0.1,1,83606060,2016,3548,0,14001
473061,0.2,1,83606060,2016,1406,1,14002
663097,1.6,1,83606070,2016,2105,0,14000
373332,1.9,1,83606070,2016,3548,0,14001
473025,1.8,1,83606070,2016,1406,1,14002
663103,1.5,1,83606080,2016,2105,0,14000
373336,1.2,1,83606080,2016,3548,0,14001
473062,0.9,1,83606080,2016,1406,1,14002
663102,100,1,83606100,2016,2105,0,14000
373328,100,1,83606100,2016,3548,0,14001
473019,100,1,83606100,2016,1406,1,14002
663104,96.7,1,83606110,2016,2105,0,14000
373329,96.7,1,83606110,2016,3548,0,14001
473020,97.1,1,83606110,2016,1406,1,14002
663105,24.9,1,83606120,2016,2105,0,14000
373330,24.2,1,83606120,2016,3548,0,14001
473021,25.3,1,83606120,2016,1406,1,14002
550039,3.4,1,93966010,2016,2026,0,14000
520801,3.1,1,93966010,2016,3413,1,14001
628408,96.9,1,93966040,2016,59,0,14000
701545,87.6,1,93966040,2016,94,1,14001
628407,46.7,1,93966050,2016,59,0,14000
701543,42,1,93966050,2016,94,1,14001
149154,66.8,1,94036010,2016,410,0,14000
653434,68.4,1,94036010,2016,647,1,14001
149153,0.2,1,94036020,2016,410,0,14000
653431,0.5,1,94036020,2016,647,1,14001
149156,29.2,1,94036030,2016,410,0,14000
653433,30.3,1,94036030,2016,647,1,14001
707848,59.2,1,94096010,2016,256,0,14000
545833,63,1,94096010,2016,350,1,14001
707849,46.5,1,94096020,2016,256,0,14000
545832,51.4,1,94096020,2016,350,1,14001
707850,67.2,1,94096030,2016,256,0,14000
545838,72.5,1,94096030,2016,350,1,14001
707851,75.4,1,94096040,2016,256,0,14000
545839,80.5,1,94096040,2016,350,1,14001
707857,33.7,1,94096044,2016,256,0,14000
545835,36.8,1,94096044,2016,350,1,14001
707854,14.6,1,94096050,2016,256,0,14000
545844,15,1,94096050,2016,350,1,14001
707855,79.2,1,94096060,2016,256,0,14000
545845,83.3,1,94096060,2016,350,1,14001
707846,20.8,1,94096070,2016,256,0,14000
545847,16.7,1,94096070,2016,350,1,14001
707856,7.2,1,94096080,2016,256,0,14000
545834,10.6,1,94096080,2016,350,1,14001
707847,2.4,1,94096090,2016,256,0,14000
545848,1.8,1,94096090,2016,350,1,14001
707853,0.2,1,94096110,2016,256,0,14000
545836,0.6,1,94096110,2016,350,1,14001
707858,0.5,1,94096120,2016,256,0,14000
545837,1.1,1,94096120,2016,350,1,14001
707859,9.1,1,94096130,2016,256,0,14000
545840,10.3,1,94096130,2016,350,1,14001
707860,16.2,1,94096140,2016,256,0,14000
545843,12.1,1,94096140,2016,350,1,14001
